batter,runs,balls_faced,innings,fours,sixes,dismissals,average,strike_rate,boundary_pct,bat_index,bowler,runs_conceded,balls_bowled,matches,dot_balls,wickets,economy,dot_pct,bowl_index,all_rounder_index
A Mishra,325,345,51,26,5,28,11.61,94.2,8.99,44.12,A Mishra,3882,3126,148,1108,155,7.45,35.44,42.91,43.64
A Symonds,813,641,33,59,32,25,32.52,126.83,14.2,66.58,A Symonds,588,486,27,181,20,7.26,37.24,16.54,46.56
AD Mathews,724,573,41,44,29,31,23.35,126.35,12.74,62.43,AD Mathews,1095,791,44,224,27,8.31,28.32,14.74,43.35
AD Russell,2039,1135,81,138,175,68,29.99,179.65,27.58,89.37,AD Russell,2214,1430,89,493,89,9.29,34.48,28.5,65.02
AL Menaria,401,354,23,24,18,21,19.1,113.28,11.86,55.32,AL Menaria,144,110,12,40,3,7.85,36.36,12.58,38.22
AM Nayar,466,436,40,39,11,30,15.53,106.88,11.47,51.26,AM Nayar,254,187,14,55,8,8.15,29.41,11.35,35.3
AR Patel,1135,878,87,67,54,59,19.24,129.27,13.78,62.16,AR Patel,3140,2559,121,842,101,7.36,32.9,31.39,49.85
Abhishek Sharma,667,492,34,64,25,28,23.82,135.57,18.09,67.37,Abhishek Sharma,218,156,17,37,7,8.38,23.72,9.33,44.15
Azhar Mahmood,388,303,21,39,13,19,20.42,128.05,17.16,62.82,Azhar Mahmood,707,537,23,199,29,7.9,37.06,17.97,44.88
BA Stokes,920,681,41,79,32,36,25.56,135.1,16.3,67.52,BA Stokes,1005,683,37,228,28,8.83,33.38,16.2,46.99
BJ Hodge,1388,1095,60,120,43,39,35.59,126.76,14.89,67.92,BJ Hodge,310,234,20,75,17,7.95,32.05,14.04,46.37
CH Gayle,4997,3331,141,408,359,126,39.66,150.02,23.03,80.48,CH Gayle,755,554,38,180,18,8.18,32.49,14.26,53.99
CH Morris,618,397,49,41,35,28,22.07,155.67,19.14,74.92,CH Morris,2377,1726,81,668,96,8.26,38.7,31.68,57.62
CJ Anderson,538,421,29,40,31,22,24.45,127.79,16.86,64.27,CJ Anderson,525,297,22,79,11,10.61,26.6,10.18,42.63
DJ Bravo,1382,1065,103,101,61,63,21.94,129.77,15.21,63.73,DJ Bravo,4197,2949,149,932,172,8.54,31.6,44.61,56.08
DJ Hooda,1237,932,75,77,56,61,20.28,132.73,14.27,64.06,DJ Hooda,505,349,30,96,10,8.68,27.51,10.91,42.8
DJ Hussey,1003,812,48,71,43,38,26.39,123.52,14.04,62.77,DJ Hussey,351,239,21,62,6,8.81,25.94,9.58,41.49
DR Smith,2340,1715,85,240,116,81,28.89,136.44,20.76,70.28,DR Smith,742,473,42,143,21,9.41,30.23,13.56,47.59
DT Christian,460,394,41,23,19,31,14.84,116.75,10.66,54.77,DT Christian,1218,883,49,296,38,8.28,33.52,18.52,40.27
GJ Maxwell,2320,1500,105,198,127,91,25.49,154.67,21.67,76.4,GJ Maxwell,1087,786,66,249,28,8.3,31.68,15.95,52.22
HH Pandya,1972,1327,100,146,111,66,29.88,148.61,19.37,75.27,HH Pandya,1566,1052,70,359,50,8.93,34.13,20.77,53.47
Harbhajan Singh,803,582,85,78,39,53,15.15,137.97,20.1,65.27,Harbhajan Singh,4017,3356,157,1247,145,7.18,37.16,41.56,55.79
IK Pathan,1019,832,72,79,32,47,21.68,122.48,13.34,60.33,IK Pathan,2350,1725,87,685,65,8.17,39.71,25.83,46.53
J Botha,409,358,28,39,5,20,20.45,114.25,12.29,56.34,J Botha,818,694,34,254,25,7.07,36.6,17.44,40.78
JA Morkel,734,521,57,43,41,33,22.24,140.88,16.12,68.47,JA Morkel,1995,1435,74,546,68,8.34,38.05,25.84,51.42
JD Ryder,604,455,29,69,19,28,21.57,132.75,19.34,65.6,JD Ryder,314,236,16,79,8,7.98,33.47,12.65,44.42
JEC Franklin,327,300,16,25,9,11,29.73,109.0,11.33,57.76,JEC Franklin,225,151,15,39,9,8.94,25.83,10.08,38.69
JH Kallis,2228,2030,84,232,40,74,30.11,109.75,13.4,58.62,JH Kallis,2026,1536,78,546,61,7.91,35.55,23.91,44.74
JP Duminy,2029,1631,75,126,79,51,39.78,124.4,12.57,68.19,JP Duminy,847,678,49,234,23,7.5,34.51,16.2,47.39
JP Faulkner,527,385,45,36,23,26,20.27,136.88,15.32,65.92,JP Faulkner,1849,1238,60,399,61,8.96,32.23,22.39,48.51
KA Pollard,3437,2315,168,221,224,121,28.4,148.47,19.22,74.59,KA Pollard,2200,1488,107,405,69,8.87,27.22,22.53,53.77
KH Pandya,1326,969,82,121,50,60,22.1,136.84,17.65,67.11,KH Pandya,2066,1672,93,529,61,7.41,31.64,22.99,49.46
KP Pietersen,1001,742,36,91,40,28,35.75,134.91,17.65,71.79,KP Pietersen,218,174,13,54,7,7.52,31.03,11.95,47.85
KV Sharma,317,274,34,18,14,21,15.1,115.69,11.68,54.65,KV Sharma,1645,1222,66,407,59,8.08,33.31,22.75,41.89
LS Livingstone,549,327,23,38,40,20,27.45,167.89,23.85,82.91,LS Livingstone,215,144,13,41,6,8.96,28.47,10.26,53.85
MC Henriques,1000,785,54,87,28,36,27.78,127.39,14.65,65.0,MC Henriques,1302,950,60,306,42,8.22,32.21,18.95,46.58
MM Ali,910,632,42,76,53,39,23.33,143.99,20.41,71.01,MM Ali,631,554,37,200,24,6.83,36.1,17.22,49.49
MP Stoinis,1070,775,59,83,48,41,26.1,138.06,16.9,69.04,MP Stoinis,1072,654,50,165,34,9.83,25.23,14.45,47.2
MR Marsh,476,386,23,28,28,21,22.67,123.32,14.51,61.3,MR Marsh,528,391,23,138,24,8.1,35.29,16.34,43.32
N Rana,2181,1620,85,190,111,78,27.96,134.63,18.58,68.75,N Rana,178,127,18,40,7,8.41,31.5,11.64,45.91
NLTC Perera,424,306,30,23,26,22,19.27,138.56,16.01,66.33,NLTC Perera,1031,698,36,227,31,8.86,32.52,16.53,46.41
P Negi,365,288,35,27,16,26,14.04,126.74,14.93,59.3,P Negi,954,716,42,237,34,7.99,33.1,17.74,42.68
PC Valthaty,505,414,23,61,20,22,22.95,121.98,19.57,61.89,PC Valthaty,207,151,10,44,7,8.23,29.14,11.03,41.55
PP Chawla,494,466,69,44,15,46,10.74,106.01,12.66,49.23,PP Chawla,3972,2993,149,1030,140,7.96,34.41,39.34,45.27
