batter,season,runs,balls_faced,innings,fours,sixes,dismissals,average,strike_rate,boundary_pct,bat_index
A Ashish Reddy,2012,35,29,5,3,1,4,8.75,120.69,13.79,54.53
A Ashish Reddy,2013,125,89,10,8,5,6,20.83,140.45,14.61,67.43
A Ashish Reddy,2015,73,46,5,3,5,3,24.33,158.7,17.39,76.69
A Badoni,2022,161,130,11,11,7,8,20.12,123.85,13.85,60.36
A Kumble,2009,22,30,11,2,0,1,22.0,73.33,6.67,39.47
A Manohar,2022,108,75,7,14,3,6,18.0,144.0,22.67,69.33
A Mishra,2009,65,70,12,3,2,7,9.29,92.86,7.14,42.29
A Mishra,2011,68,49,9,9,1,4,17.0,138.78,20.41,66.39
A Mishra,2012,16,20,5,1,0,3,5.33,80.0,5.0,35.13
A Mishra,2013,89,95,6,9,0,6,14.83,93.68,9.47,45.3
A Mishra,2017,49,52,6,2,2,1,49.0,94.23,7.69,58.83
A Symonds,2009,678,503,24,50,29,21,32.29,134.79,15.71,69.97
A Symonds,2011,135,138,9,9,3,4,33.75,97.83,8.7,54.37
AA Bilakhia,2009,69,84,7,5,0,5,13.8,82.14,5.95,39.57
AA Jhunjhunwala,2009,183,166,10,16,4,9,20.33,110.24,12.05,54.64
AB Agarkar,2009,106,85,9,7,3,3,35.33,124.71,11.76,66.37
AB Dinda,2013,9,11,5,1,0,2,4.5,81.82,9.09,36.35
AB de Villiers,2009,576,473,20,46,12,16,36.0,121.78,12.26,65.56
AB de Villiers,2011,312,242,13,21,14,9,34.67,128.93,14.46,68.33
AB de Villiers,2012,319,197,13,26,15,8,39.88,161.93,20.81,84.89
AB de Villiers,2013,373,223,14,34,17,10,37.3,167.26,22.87,86.4
AB de Villiers,2014,395,248,13,26,24,11,35.91,159.27,20.16,82.1
AB de Villiers,2015,513,291,14,60,22,11,46.64,176.29,28.18,94.81
AB de Villiers,2016,687,405,16,57,37,13,52.85,169.63,23.21,93.63
AB de Villiers,2017,216,163,9,12,16,8,27.0,132.52,17.18,67.24
AB de Villiers,2018,480,275,11,39,30,9,53.33,174.55,25.09,96.17
AB de Villiers,2019,442,287,13,31,26,10,44.2,154.01,19.86,83.26
AB de Villiers,2020,460,287,14,34,23,10,46.0,160.28,19.86,86.48
AB de Villiers,2021,313,211,14,23,16,10,31.3,148.34,18.48,75.55
AC Blizzard,2011,120,87,6,21,2,6,20.0,137.93,26.44,68.46
AC Gilchrist,2009,784,507,32,85,45,32,24.5,154.64,25.64,76.78
AC Gilchrist,2011,383,291,14,41,18,14,27.36,131.62,20.27,67.65
AC Gilchrist,2012,172,142,7,21,4,5,34.4,121.13,17.61,65.73
AC Gilchrist,2013,294,229,13,41,6,12,24.5,128.38,20.52,65.26
AC Voges,2009,181,143,7,15,3,4,45.25,126.57,12.59,71.25
AD Hales,2018,148,117,6,13,6,6,24.67,126.5,16.24,63.72
AD Mascarenhas,2009,51,49,6,4,0,5,10.2,104.08,8.16,47.34
AD Mathews,2009,249,196,11,20,8,8,31.12,127.04,14.29,66.12
AD Mathews,2012,127,108,8,5,4,7,18.14,117.59,8.33,55.96
AD Mathews,2013,172,139,10,5,10,7,24.57,123.74,10.79,61.48
AD Mathews,2015,144,103,10,12,6,7,20.57,139.81,17.48,67.65
AD Nath,2019,61,57,5,5,2,5,12.2,107.02,12.28,50.14
AD Russell,2015,326,169,11,35,19,9,36.22,192.9,31.95,98.04
AD Russell,2016,188,114,8,10,15,7,26.86,164.91,21.93,81.09
AD Russell,2018,316,170,14,17,31,11,28.73,185.88,28.24,91.49
AD Russell,2019,514,249,13,32,52,10,51.4,206.43,33.73,109.88
AD Russell,2020,117,79,9,9,9,9,13.0,148.1,22.78,69.0
AD Russell,2021,183,117,8,14,14,7,26.14,156.41,23.93,77.81
AD Russell,2022,335,189,12,18,32,9,37.22,177.25,26.46,91.08
AJ Finch,2011,47,46,6,3,3,6,7.83,102.17,13.04,46.61
AJ Finch,2013,456,335,14,54,16,14,32.57,136.12,20.9,71.66
AJ Finch,2014,309,261,13,31,9,11,28.09,118.39,15.33,61.66
AJ Finch,2016,393,297,12,45,11,10,39.3,132.32,18.86,72.42
AJ Finch,2017,300,182,13,25,19,12,25.0,164.84,24.18,80.77
AJ Finch,2018,134,100,9,6,8,8,16.75,134.0,14.0,63.1
AJ Finch,2020,268,239,12,28,8,12,22.33,112.13,15.06,56.8
AJ Finch,2022,86,61,5,10,3,5,17.2,140.98,21.31,67.53
AJ Tye,2018,32,38,8,2,1,6,5.33,84.21,7.89,37.39
AK Markram,2021,146,119,6,12,4,5,29.2,122.69,13.45,63.45
AK Markram,2022,381,273,12,25,19,8,47.62,139.56,16.12,78.1
AL Menaria,2011,180,152,10,10,10,9,20.0,118.42,13.16,58.0
AL Menaria,2012,220,200,12,14,8,11,20.0,110.0,11.0,54.2
AM Nayar,2009,251,202,14,18,9,11,22.82,124.26,13.37,61.51
AM Nayar,2011,61,66,9,9,0,7,8.71,92.42,13.64,43.18
AM Nayar,2013,66,73,9,5,0,6,11.0,90.41,6.85,41.93
AM Rahane,2009,144,121,7,12,3,6,24.0,119.01,12.4,59.68
AM Rahane,2011,120,98,7,12,2,6,20.0,122.45,14.29,59.84
AM Rahane,2012,560,433,16,73,10,14,40.0,129.33,19.17,71.57
AM Rahane,2013,488,458,18,42,11,14,34.86,106.55,11.57,58.88
AM Rahane,2014,339,291,12,38,3,12,28.25,116.49,14.09,60.71
AM Rahane,2015,540,412,13,53,13,11,49.09,131.07,16.02,75.27
AM Rahane,2016,480,378,14,54,9,11,43.64,126.98,16.67,71.58
AM Rahane,2017,382,323,16,35,9,15,25.47,118.27,13.62,60.22
AM Rahane,2018,370,313,14,39,5,13,28.46,118.21,14.06,61.48
AM Rahane,2019,393,285,13,45,9,12,32.75,137.89,18.95,72.05
AM Rahane,2020,113,107,8,12,2,8,14.12,105.61,13.08,50.51
AM Rahane,2022,133,128,7,14,4,7,19.0,103.91,14.06,51.98
AP Tare,2013,123,84,5,14,5,5,24.6,146.43,22.62,72.94
AP Tare,2014,126,97,11,16,3,8,15.75,129.9,19.59,62.18
AR Patel,2014,62,60,7,6,1,6,10.33,103.33,11.67,47.8
AR Patel,2015,206,174,12,13,8,9,22.89,118.39,12.07,58.93
AR Patel,2016,111,77,10,4,8,7,15.86,144.16,15.58,67.12
AR Patel,2017,227,162,13,11,11,8,28.38,140.12,13.58,70.12
AR Patel,2018,80,69,8,3,4,6,13.33,115.94,10.14,53.74
AR Patel,2019,110,87,12,10,3,6,18.33,126.44,14.94,60.9
AR Patel,2020,117,83,9,6,8,8,14.62,140.96,16.87,65.61
AR Patel,2021,40,46,6,2,1,5,8.0,86.96,6.52,39.29
AR Patel,2022,182,120,10,12,10,4,45.5,151.67,18.33,82.53
AS Raut,2009,134,109,12,8,6,6,22.33,122.94,12.84,60.68
AT Rayudu,2009,356,244,14,34,13,13,27.38,145.9,19.26,73.16
AT Rayudu,2011,395,349,16,44,9,14,28.21,113.18,15.19,59.59
AT Rayudu,2012,333,252,15,21,14,9,37.0,132.14,13.89,70.43
AT Rayudu,2013,265,229,15,22,4,14,18.93,115.72,11.35,56.13
AT Rayudu,2014,361,286,14,31,8,14,25.79,126.22,13.64,63.53
AT Rayudu,2015,281,192,14,18,16,9,31.22,146.35,17.71,74.57
AT Rayudu,2016,334,277,12,28,12,11,30.36,120.58,14.44,63.26
AT Rayudu,2017,91,78,5,7,3,5,18.2,116.67,12.82,56.51
AT Rayudu,2018,602,401,16,53,34,14,43.0,150.12,21.7,81.59
AT Rayudu,2019,282,301,17,20,7,12,23.5,93.69,8.97,48.67
AT Rayudu,2020,359,279,11,30,12,9,39.89,128.67,15.05,70.43
AT Rayudu,2021,257,167,13,16,17,10,25.7,153.89,19.76,75.79
AT Rayudu,2022,274,223,11,25,15,11,24.91,122.87,17.94,62.7
AUK Pathan,2011,33,16,5,5,2,4,8.25,206.25,43.75,94.55
Abdul Samad,2020,113,67,7,8,6,6,18.83,168.66,20.9,79.18
Abdul Samad,2021,111,87,10,4,8,9,12.33,127.59,13.79,58.73
Abhishek Sharma,2020,71,56,7,6,3,5,14.2,126.79,16.07,59.61
Abhishek Sharma,2021,98,75,7,7,4,6,16.33,130.67,14.67,61.73
Abhishek Sharma,2022,426,319,14,47,13,14,30.43,133.54,18.81,69.35
Anuj Rawat,2022,129,118,8,10,7,8,16.12,109.32,14.41,53.06
Anureet Singh,2015,18,31,6,0,1,3,6.0,58.06,3.23,26.27
Arshdeep Singh,2022,21,29,6,3,0,3,7.0,72.41,10.34,33.83
Azhar Mahmood,2012,186,142,10,16,8,8,23.25,130.99,16.9,65.08
Azhar Mahmood,2013,196,154,10,22,5,10,19.6,127.27,17.53,62.25
B Chipli,2011,207,170,13,21,4,8,25.88,121.76,14.71,62.0
B Kumar,2012,40,40,8,4,0,3,13.33,100.0,10.0,47.33
B Kumar,2013,52,71,9,3,1,7,7.43,73.24,5.63,33.39
B Kumar,2016,43,27,8,6,1,6,7.17,159.26,25.93,71.76
B Kumar,2021,34,30,7,3,0,1,34.0,113.33,10.0,60.93
B Kumar,2022,24,25,6,3,0,3,8.0,96.0,12.0,44.0
B Lee,2009,39,43,7,3,1,3,13.0,90.7,9.3,43.34
B Sai Sudharsan,2022,145,113,5,14,3,4,36.25,128.32,15.04,68.84
BA Stokes,2017,316,221,11,22,15,10,31.6,142.99,16.74,73.18
BA Stokes,2018,196,160,12,13,6,12,16.33,122.5,11.88,57.91
BA Stokes,2019,123,97,9,8,4,6,20.5,126.8,12.37,61.39
BA Stokes,2020,285,200,8,36,7,7,40.71,142.5,21.5,77.58
BB McCullum,2009,400,345,18,41,14,16,25.0,115.94,15.94,59.56
BB McCullum,2011,357,272,13,35,16,13,27.46,131.25,18.75,67.23
BB McCullum,2012,289,283,12,37,3,12,24.08,102.12,14.13,53.31
BB McCullum,2014,405,333,14,32,19,13,31.15,121.62,15.32,64.17
BB McCullum,2015,436,276,14,51,23,13,33.54,157.97,26.81,81.97
BB McCullum,2016,354,262,16,38,16,16,22.12,135.11,20.61,67.01
BB McCullum,2017,320,220,11,29,18,11,29.09,145.45,21.36,74.09
BB McCullum,2018,127,87,6,16,6,6,21.17,145.98,25.29,71.92
BB Samantray,2013,123,111,7,13,2,5,24.6,110.81,13.51,56.87
BCJ Cutting,2018,96,58,6,5,8,4,24.0,165.52,22.41,80.29
BJ Hodge,2009,464,399,16,45,10,13,35.69,116.29,13.78,63.55
BJ Hodge,2011,285,234,14,26,9,8,35.62,121.79,14.96,65.96
BJ Hodge,2012,245,173,12,18,9,8,30.62,141.62,15.61,72.02
BJ Hodge,2013,293,217,14,27,9,7,41.86,135.02,16.59,74.07
BJ Rohrer,2013,193,141,8,21,5,7,27.57,136.88,18.44,69.47
Basil Thampi,2017,28,28,5,1,1,0,,100.0,7.14,
C Sakariya,2021,16,24,5,2,0,5,3.2,66.67,8.33,29.61
C de Grandhomme,2017,126,92,9,10,6,8,15.75,136.96,17.39,64.56
C de Grandhomme,2018,131,83,8,4,10,5,26.2,157.83,16.87,76.99
CA Ingram,2019,184,154,12,20,5,10,18.4,119.48,16.23,58.4
CA Lynn,2017,295,161,7,25,19,6,49.17,183.23,27.33,98.43
CA Lynn,2018,491,377,16,56,18,15,32.73,130.24,19.63,69.11
CA Lynn,2019,405,288,13,41,22,13,31.15,140.62,21.88,73.08
CA Pujara,2009,122,115,6,14,3,4,30.5,106.09,14.78,57.59
CA Pujara,2014,125,123,6,17,0,5,25.0,101.63,13.82,53.42
CH Gayle,2009,476,331,16,48,26,16,29.75,143.81,22.36,73.9
CH Gayle,2011,608,331,12,57,44,9,67.56,183.69,30.51,106.6
CH Gayle,2012,733,451,14,46,59,12,61.08,162.53,23.28,94.1
CH Gayle,2013,720,454,16,57,52,12,60.0,158.59,24.01,92.24
CH Gayle,2014,196,184,9,18,12,9,21.78,106.52,16.3,54.58
CH Gayle,2015,491,331,14,39,38,12,40.92,148.34,23.26,80.36
CH Gayle,2016,227,150,10,17,21,10,22.7,151.33,25.33,74.68
CH Gayle,2017,200,162,9,15,14,9,22.22,123.46,17.9,61.85
CH Gayle,2018,368,252,11,30,27,9,40.89,146.03,22.62,79.29
CH Gayle,2019,490,319,13,45,34,12,40.83,153.61,24.76,82.73
CH Gayle,2020,295,212,7,15,24,7,42.14,139.15,18.4,76.2
CH Gayle,2021,193,154,10,21,8,9,21.44,125.32,18.83,62.47
CH Morris,2013,14,16,6,0,0,2,7.0,87.5,0.0,37.8
CH Morris,2015,76,45,7,3,5,2,38.0,168.89,17.78,86.31
CH Morris,2016,195,109,7,15,12,3,65.0,178.9,24.77,102.51
CH Morris,2017,154,94,8,15,6,5,30.8,163.83,22.34,82.32
CH Morris,2019,32,37,6,1,2,6,5.33,86.49,8.11,38.35
CH Morris,2020,34,21,5,2,3,4,8.5,161.9,23.81,72.92
CH Morris,2021,67,49,7,2,5,5,13.4,136.73,14.29,62.91
CJ Anderson,2014,265,181,11,21,15,9,29.44,146.41,19.89,74.32
CJ Anderson,2017,142,122,11,8,9,7,20.29,116.39,13.93,57.46
CL White,2009,48,33,5,3,3,2,24.0,145.45,18.18,71.42
CL White,2011,104,109,6,6,2,4,26.0,95.41,7.34,50.03
CL White,2012,479,319,13,41,20,11,43.55,150.16,19.12,81.31
CL White,2013,226,196,13,18,9,12,18.83,115.31,13.78,56.41
CM Gautam,2014,121,110,9,13,5,7,17.29,110.0,16.36,54.19
CR Brathwaite,2016,83,38,6,6,8,6,13.83,218.42,36.84,100.27
CR Woakes,2017,46,47,7,4,1,4,11.5,97.87,10.64,45.88
D Brevis,2022,161,113,7,14,11,7,23.0,142.48,22.12,70.62
D Padikkal,2020,473,378,15,51,8,15,31.53,125.13,15.61,65.79
D Padikkal,2021,411,327,14,44,14,13,31.62,125.69,17.74,66.47
D Padikkal,2022,376,305,17,41,14,17,22.12,123.28,18.03,61.77
D Pretorius,2022,44,28,5,3,3,4,11.0,157.14,21.43,71.54
D Wiese,2015,122,85,7,12,4,4,30.5,143.53,18.82,73.38
DA Miller,2012,98,75,6,6,4,3,32.67,130.67,13.33,68.0
DA Miller,2013,418,253,12,28,24,7,59.71,165.22,20.55,94.08
DA Miller,2014,446,299,16,34,21,10,44.6,149.16,18.39,81.18
DA Miller,2015,357,267,13,21,21,12,29.75,133.71,15.73,68.53
DA Miller,2016,161,130,13,11,4,10,16.1,123.85,11.54,58.29
DA Miller,2019,213,163,10,19,7,8,26.62,130.67,15.95,66.11
DA Miller,2021,124,113,8,11,3,5,24.8,109.73,12.39,56.29
DA Miller,2022,481,335,16,32,23,7,68.71,143.58,16.42,88.2
DA Warner,2009,445,321,18,43,19,17,26.18,138.63,19.31,69.79
DA Warner,2011,324,275,13,34,11,13,24.92,117.82,16.36,60.37
DA Warner,2012,256,155,8,28,14,7,36.57,165.16,27.1,86.11
DA Warner,2013,410,324,16,41,14,14,29.29,126.54,16.98,65.73
DA Warner,2014,528,371,14,39,24,11,48.0,142.32,16.98,79.52
DA Warner,2015,562,356,14,65,21,13,43.23,157.87,24.16,85.27
DA Warner,2016,848,558,17,88,31,14,60.57,151.97,21.33,89.28
DA Warner,2017,641,449,14,63,26,11,58.27,142.76,19.82,84.38
DA Warner,2019,692,481,12,57,21,10,69.2,143.87,16.22,88.47
DA Warner,2020,548,406,16,52,14,15,36.53,134.98,16.26,71.86
DA Warner,2021,197,184,8,15,6,8,24.62,107.07,11.41,54.96
DA Warner,2022,432,285,12,52,15,9,48.0,151.58,23.51,84.53
DB Das,2012,126,92,10,9,6,3,42.0,136.96,16.3,74.84
DB Das,2013,75,74,6,5,5,5,15.0,101.35,13.51,49.24
DB Ravi Teja,2009,65,70,6,7,0,3,21.67,92.86,10.0,47.81
DB Ravi Teja,2011,183,143,9,17,4,7,26.14,127.97,14.69,64.58
DH Yagnik,2013,125,93,9,17,2,8,15.62,134.41,20.43,64.1
DJ Bravo,2009,279,254,18,18,12,15,18.6,109.84,11.81,53.74
DJ Bravo,2012,371,262,16,20,20,8,46.38,141.6,15.27,78.25
DJ Bravo,2013,121,106,12,11,3,8,15.12,114.15,13.21,54.35
DJ Bravo,2015,195,148,13,22,5,9,21.67,131.76,18.24,65.02
DJ Bravo,2016,99,82,12,11,1,8,12.38,120.73,14.63,56.17
DJ Bravo,2018,141,90,10,8,10,4,35.25,156.67,20.0,80.77
DJ Bravo,2019,80,66,8,6,3,5,16.0,121.21,13.64,57.61
DJ Bravo,2022,23,24,6,1,1,2,11.5,95.83,8.33,44.6
DJ Hooda,2015,151,95,9,6,11,9,16.78,158.95,17.89,73.87
DJ Hooda,2016,144,119,15,9,5,14,10.29,121.01,11.76,54.87
DJ Hooda,2017,78,52,6,5,4,3,26.0,150.0,17.31,73.86
DJ Hooda,2018,87,81,8,2,3,4,21.75,107.41,6.17,52.9
DJ Hooda,2019,64,63,7,5,1,6,10.67,101.59,9.52,46.81
DJ Hooda,2020,102,72,5,5,5,1,102.0,141.67,13.89,100.25
