season,batter,bat_index,runs,strike_rate,average
2009,KA Pollard,89.38,273,186.99,22.75
2011,CH Gayle,106.6,608,183.69,67.56
2012,CH Gayle,94.1,733,162.53,61.08
2013,R Vinay Kumar,95.73,70,159.09,70.0
2014,JP Faulkner,101.11,181,194.62,45.25
2015,AD Russell,98.04,326,192.9,36.22
2016,CH Morris,102.51,195,178.9,65.0
2017,CA Lynn,98.43,295,183.23,49.17
2018,AB de Villiers,96.17,480,174.55,53.33
2019,AD Russell,109.88,514,206.43,51.4
2020,DJ Hooda,100.25,102,141.67,102.0
2021,RA Jadeja,92.46,227,146.45,75.67
2022,PJ Cummins,125.43,63,273.91,15.75
