bowler,season,runs_conceded,balls_bowled,matches,dot_balls,wickets
A Ashish Reddy,2012,238,163,9,55,11
A Chandila,2012,87,84,4,39,5
A Chandila,2013,158,150,8,64,6
A Choudhary,2017,144,101,5,42,5
A Kumble,2009,775,735,32,289,38
A Mishra,2009,671,571,25,229,31
A Mishra,2011,369,320,14,130,19
A Mishra,2012,381,282,14,89,13
A Mishra,2013,395,372,17,151,21
A Mishra,2014,342,225,10,66,7
A Mishra,2015,312,241,12,75,9
A Mishra,2016,350,276,14,93,13
A Mishra,2017,345,233,14,78,10
A Mishra,2018,265,222,10,73,12
A Mishra,2019,271,240,11,82,11
A Mishra,2021,109,84,4,25,6
A Mithun,2011,325,204,12,67,5
A Nehra,2009,456,390,17,176,25
A Nehra,2012,411,288,13,99,11
A Nehra,2013,319,216,10,84,11
A Nehra,2014,143,90,4,30,8
A Nehra,2015,453,372,16,170,22
A Nehra,2016,200,156,8,72,9
A Nehra,2017,198,127,6,47,8
A Nortje,2020,529,366,16,149,22
A Nortje,2021,198,182,8,79,12
A Nortje,2022,219,134,6,47,9
A Singh,2009,100,105,5,56,9
A Singh,2011,222,171,9,75,9
A Singh,2012,317,197,9,58,10
A Symonds,2009,547,462,24,171,19
A Zampa,2016,117,102,5,32,12
A Zampa,2017,164,119,6,38,7
AA Chavan,2012,245,164,8,55,7
AB Agarkar,2009,500,318,18,105,10
AB Agarkar,2011,236,162,7,46,8
AB Dinda,2009,350,283,15,131,13
AB Dinda,2011,159,102,5,41,5
AB Dinda,2012,171,144,7,61,9
AB Dinda,2013,466,294,13,105,16
AB Dinda,2014,271,186,9,64,5
AB Dinda,2016,236,183,9,84,11
AB McDonald,2009,160,102,5,23,5
AB McDonald,2012,63,60,3,18,5
AC Thomas,2011,300,231,11,96,11
AD Mascarenhas,2009,199,164,7,74,10
AD Mascarenhas,2012,110,96,4,35,7
AD Mathews,2009,349,239,13,60,8
AD Mathews,2012,195,156,9,50,7
AD Mathews,2013,245,186,10,50,5
AD Mathews,2015,249,180,10,61,7
AD Russell,2015,332,244,13,94,14
AD Russell,2016,301,219,12,90,15
AD Russell,2018,360,227,15,74,13
AD Russell,2019,288,181,12,60,11
AD Russell,2020,178,108,7,36,6
AD Russell,2021,189,114,8,38,11
AD Russell,2022,282,169,13,57,17
AJ Tye,2017,146,126,6,44,12
AJ Tye,2018,459,336,14,108,24
AN Ahmed,2011,178,120,6,40,5
AP Dole,2009,114,66,3,20,5
AR Patel,2014,424,396,17,157,17
AR Patel,2015,399,280,14,83,13
AR Patel,2016,395,287,14,91,13
AR Patel,2017,366,288,14,82,15
AR Patel,2019,368,306,14,109,10
AR Patel,2020,329,306,15,98,9
AR Patel,2021,315,282,12,99,15
AR Patel,2022,323,258,13,85,6
AS Joseph,2019,89,52,3,23,6
AS Joseph,2022,269,180,9,67,7
AS Rajpoot,2018,230,157,8,76,11
Akash Deep,2022,206,113,5,39,5
Anureet Singh,2015,477,310,14,105,15
Arshdeep Singh,2020,219,149,8,55,9
Arshdeep Singh,2021,348,248,12,82,18
Arshdeep Singh,2022,402,300,14,102,10
Avesh Khan,2021,466,366,16,146,24
Avesh Khan,2022,423,286,13,122,18
Azhar Mahmood,2012,331,256,11,95,14
Azhar Mahmood,2013,335,263,11,99,15
B Kumar,2012,293,234,11,86,8
B Kumar,2013,381,342,16,167,13
B Kumar,2014,362,319,14,152,20
B Kumar,2015,419,310,14,126,18
B Kumar,2016,503,396,17,156,23
B Kumar,2017,384,314,14,117,26
B Kumar,2018,357,277,12,121,9
B Kumar,2019,466,354,15,163,13
B Kumar,2021,337,252,11,101,6
B Kumar,2022,394,313,14,129,12
B Laughlin,2018,212,126,7,33,9
B Lee,2009,267,207,9,89,5
B Lee,2011,349,272,12,108,5
B Lee,2012,303,228,10,99,7
B Stanlake,2018,130,96,4,47,5
BA Bhatt,2011,233,167,8,55,9
BA Stokes,2017,327,264,12,108,12
BA Stokes,2018,307,222,12,73,8
BA Stokes,2019,200,101,6,26,6
BAW Mendis,2009,204,148,6,38,5
BB Sran,2016,420,297,14,107,14
BCJ Cutting,2016,80,67,4,23,5
BE Hendricks,2015,112,78,4,27,5
BJ Hodge,2009,208,150,13,42,9
BJ Hodge,2011,77,66,4,28,7
BW Hilfenhaus,2012,242,204,9,103,14
BW Hilfenhaus,2014,255,168,8,70,8
Basil Thampi,2017,428,268,12,76,11
Basil Thampi,2018,115,61,4,16,5
Basil Thampi,2022,158,96,5,38,5
C Sakariya,2021,434,312,14,108,14
CH Gayle,2009,299,209,13,61,5
CH Gayle,2011,262,216,12,80,8
CH Morris,2013,410,300,16,113,15
CH Morris,2015,336,258,11,115,14
CH Morris,2016,320,264,12,102,13
CH Morris,2017,241,186,9,71,12
CH Morris,2019,314,198,9,66,13
CH Morris,2020,212,190,9,89,11
CH Morris,2021,396,246,11,83,15
CJ Jordan,2016,266,168,9,49,11
CJ Jordan,2020,320,195,9,59,9
CK Langeveldt,2009,107,90,4,42,8
CK Langeveldt,2011,92,66,3,27,5
CR Brathwaite,2016,192,139,8,41,7
CR Brathwaite,2018,96,61,4,21,5
CR Woakes,2017,393,264,13,87,17
CR Woakes,2018,196,110,5,44,8
CR Woakes,2021,85,66,3,30,5
CRD Fernando,2009,142,114,5,50,7
CV Varun,2020,357,312,13,110,17
CV Varun,2021,456,408,17,142,18
CV Varun,2022,338,234,11,86,6
D Pretorius,2022,213,126,6,34,6
D Wiese,2015,360,254,13,73,16
DE Bollinger,2009,213,186,8,94,12
DE Bollinger,2011,343,282,13,114,17
DE Bollinger,2012,160,108,6,46,8
DJ Bravo,2009,496,356,21,137,15
DJ Bravo,2011,159,120,6,40,6
DJ Bravo,2012,472,346,18,110,15
DJ Bravo,2013,505,375,18,135,32
DJ Bravo,2015,442,314,16,88,26
DJ Bravo,2016,502,336,15,93,17
DJ Bravo,2018,538,321,16,85,14
DJ Bravo,2019,336,247,12,71,11
DJ Bravo,2020,180,126,6,35,6
DJ Bravo,2021,264,202,11,72,14
DJ Bravo,2022,303,206,10,66,16
DJG Sammy,2013,169,134,9,50,8
DL Chahar,2018,281,229,12,114,10
DL Chahar,2019,486,387,17,186,22
DL Chahar,2020,402,312,14,113,12
DL Chahar,2021,453,324,15,130,14
DL Vettori,2009,284,209,10,69,9
DL Vettori,2011,315,310,13,119,12
DL Vettori,2012,241,210,9,66,5
DP Nannes,2009,619,503,22,224,22
DR Sams,2022,375,252,11,105,13
DR Smith,2016,154,108,8,40,8
DS Kulkarni,2009,249,180,9,75,6
DS Kulkarni,2011,156,120,6,42,5
DS Kulkarni,2012,64,48,2,23,6
DS Kulkarni,2013,153,112,6,53,8
DS Kulkarni,2014,226,162,8,70,6
DS Kulkarni,2015,290,210,11,95,13
DS Kulkarni,2016,365,294,14,130,18
DS Kulkarni,2019,336,210,10,76,6
DT Christian,2011,357,274,14,109,11
DT Christian,2012,240,162,7,51,8
DT Christian,2017,303,240,13,74,11
DW Steyn,2009,477,408,18,191,17
DW Steyn,2011,304,273,12,134,14
DW Steyn,2012,290,280,12,138,18
DW Steyn,2013,410,413,17,211,19
DW Steyn,2014,441,336,14,145,11
FH Edwards,2009,160,140,6,70,5
GB Hogg,2012,262,216,9,73,10
GB Hogg,2015,148,126,6,50,9
GC Viljoen,2019,229,138,6,43,7
GJ Maxwell,2017,126,114,8,38,7
GJ Maxwell,2018,132,96,10,32,5
GJ Maxwell,2022,166,144,10,62,6
HF Gurney,2019,239,162,8,50,7
HH Pandya,2017,219,156,13,45,6
HH Pandya,2018,391,256,13,94,18
HH Pandya,2019,397,255,16,90,14
HH Pandya,2022,226,183,10,72,8
HV Patel,2012,352,246,11,78,9
HV Patel,2015,339,263,14,103,17
HV Patel,2018,169,105,5,34,7
HV Patel,2021,461,338,15,120,32
HV Patel,2022,421,321,15,123,19
Harbhajan Singh,2009,657,585,27,205,29
Harbhajan Singh,2011,373,318,15,127,14
Harbhajan Singh,2012,389,324,16,117,6
Harbhajan Singh,2013,466,420,19,163,24
Harbhajan Singh,2014,365,330,14,138,14
Harbhajan Singh,2015,448,342,15,117,18
Harbhajan Singh,2016,402,294,14,83,9
Harbhajan Singh,2017,269,246,11,96,8
Harbhajan Singh,2018,270,191,12,68,7
Harbhajan Singh,2019,315,264,11,114,16
Harmeet Singh,2009,375,281,15,105,11
Harmeet Singh,2012,196,134,7,40,7
Harmeet Singh,2013,123,92,4,39,6
Harpreet Brar,2021,142,138,7,54,5
I Sharma,2009,545,408,18,184,18
I Sharma,2011,324,264,12,121,11
I Sharma,2013,471,358,16,160,15
I Sharma,2019,364,276,13,113,13
I Udana,2020,286,174,10,45,8
IC Pandey,2014,331,252,12,112,6
IC Pandey,2015,228,186,10,93,11
IK Pathan,2009,833,580,28,219,32
IK Pathan,2011,353,275,13,124,11
IK Pathan,2012,477,360,17,145,8
IK Pathan,2013,391,308,15,134,10
IS Sodhi,2018,137,138,6,49,5
Imran Tahir,2014,176,125,6,38,9
Imran Tahir,2015,315,213,10,64,15
Imran Tahir,2016,141,96,4,25,5
Imran Tahir,2017,370,282,12,94,18
Imran Tahir,2018,193,124,6,38,6
Imran Tahir,2019,440,386,17,146,26
Iqbal Abdulla,2011,313,300,15,131,16
Iqbal Abdulla,2013,142,113,5,41,7
Iqbal Abdulla,2016,216,150,8,35,6
J Botha,2011,242,216,10,81,7
J Botha,2012,304,246,11,87,9
J Botha,2013,114,100,6,37,5
J Suchith,2015,338,234,12,70,10
J Suchith,2022,141,108,5,48,7
J Syed Mohammad,2011,128,90,5,29,5
J Theron,2009,204,149,7,46,8
JA Morkel,2009,740,526,26,196,24
JA Morkel,2011,390,270,14,102,15
JA Morkel,2012,392,297,15,118,13
JA Morkel,2013,167,144,7,59,7
JC Archer,2018,329,233,10,93,15
JC Archer,2019,306,258,11,113,11
JC Archer,2020,373,334,14,171,20
JD Unadkat,2011,151,108,6,40,6
JD Unadkat,2013,373,294,13,102,13
JD Unadkat,2014,278,187,9,59,9
JD Unadkat,2017,330,275,12,119,24
JD Unadkat,2018,486,302,15,97,11
JD Unadkat,2019,404,224,11,55,10
JD Unadkat,2022,191,120,5,35,6
JDP Oram,2009,139,93,7,28,5
JDS Neesham,2021,68,54,3,19,5
JE Taylor,2011,167,117,5,48,6
JEC Franklin,2012,126,90,9,25,6
JH Kallis,2009,846,618,30,229,19
JH Kallis,2011,170,144,9,54,7
JH Kallis,2012,410,324,16,112,15
JH Kallis,2013,407,318,15,112,16
JJ Bumrah,2014,307,238,11,92,5
JJ Bumrah,2016,413,312,14,108,15
JJ Bumrah,2017,455,362,16,124,20
JJ Bumrah,2018,383,324,14,128,17
JJ Bumrah,2019,433,374,16,157,20
JJ Bumrah,2020,436,372,15,168,29
JJ Bumrah,2021,422,330,14,134,21
JJ Bumrah,2022,392,320,14,133,15
JL Pattinson,2020,321,213,10,77,11
JO Holder,2020,239,168,7,55,14
JO Holder,2021,248,191,8,74,16
JO Holder,2022,399,249,12,72,14
JP Behrendorff,2019,168,114,5,51,5
JP Duminy,2009,133,138,8,57,5
JP Duminy,2015,128,102,9,33,8
JP Faulkner,2013,436,379,16,161,28
JP Faulkner,2014,449,264,13,72,11
JP Faulkner,2015,433,270,13,88,8
JP Faulkner,2017,279,163,8,36,8
JR Hazlewood,2021,302,210,9,81,11
JR Hazlewood,2022,380,279,12,120,20
JR Hopes,2011,277,192,9,53,7
Jaskaran Singh,2009,174,102,7,39,6
K Gowtham,2018,321,240,15,87,11
K Gowtham,2022,101,72,4,31,5
K Kartikeya,2022,103,78,4,29,5
K Rabada,2017,198,128,6,48,6
K Rabada,2019,382,288,12,109,26
K Rabada,2020,565,397,17,151,32
K Rabada,2021,464,336,15,130,15
K Rabada,2022,414,288,13,128,23
KA Jamieson,2021,271,168,9,69,9
KA Pollard,2009,276,222,12,58,15
KA Pollard,2011,367,255,16,73,10
KA Pollard,2012,352,263,14,85,16
KA Pollard,2013,292,186,14,60,10
KA Pollard,2021,95,79,9,26,5
KH Pandya,2016,238,187,11,53,6
KH Pandya,2017,280,240,13,73,10
KH Pandya,2018,288,241,13,82,12
KH Pandya,2019,337,276,16,92,12
KH Pandya,2020,387,301,16,95,6
KH Pandya,2021,267,199,12,66,5
KH Pandya,2022,269,228,12,68,10
KK Ahmed,2019,292,209,9,83,19
KK Ahmed,2020,245,154,7,59,8
KK Ahmed,2021,225,162,7,53,5
KK Ahmed,2022,315,235,10,110,16
KK Cooper,2012,187,144,6,52,10
KK Cooper,2013,456,324,14,98,19
KL Nagarkoti,2020,233,156,9,44,5
KMA Paul,2019,239,163,8,52,9
KP Appanna,2012,149,102,6,35,6
KP Pietersen,2009,165,138,10,44,7
KR Sen,2022,240,151,7,56,8
KV Sharma,2013,235,209,13,88,11
KV Sharma,2014,393,304,14,114,15
KV Sharma,2015,338,239,14,65,10
KV Sharma,2017,217,184,9,75,13
KV Sharma,2020,165,114,5,27,5
KW Richardson,2014,209,162,7,62,9
KW Richardson,2016,138,84,4,34,7
Kamran Khan,2009,201,148,8,58,10
Karanveer Singh,2014,164,120,5,42,11
Kartik Tyagi,2020,372,229,10,78,9
Kuldeep Yadav,2016,102,72,3,28,6
Kuldeep Yadav,2017,345,246,11,74,12
Kuldeep Yadav,2018,423,308,16,90,17
Kuldeep Yadav,2022,420,298,14,96,21
L Balaji,2009,534,364,20,120,20
L Balaji,2011,383,266,14,89,10
L Balaji,2012,169,180,8,83,11
L Balaji,2013,399,300,13,113,12
L Balaji,2014,305,204,9,72,12
L Ngidi,2018,162,156,7,74,11
L Ngidi,2020,169,96,4,33,9
L Ngidi,2021,129,72,3,24,5
LH Ferguson,2020,153,122,5,47,8
LH Ferguson,2021,226,180,8,74,13
LH Ferguson,2022,433,286,13,110,12
LR Shukla,2009,210,156,9,57,6
LS Livingstone,2022,202,138,12,38,6
M Ashwin,2016,245,171,10,55,7
M Ashwin,2019,257,204,10,57,5
M Ashwin,2020,240,189,9,68,10
M Ashwin,2022,233,174,8,65,9
M Jansen,2022,278,192,8,79,7
M Kartik,2009,468,438,20,154,13
M Kartik,2013,290,234,11,71,9
M Markande,2018,376,264,14,80,15
M Morkel,2011,336,258,11,115,13
M Morkel,2012,466,378,16,154,25
M Morkel,2013,341,240,10,91,7
M Morkel,2014,376,288,12,148,12
M Morkel,2015,212,168,7,76,10
M Morkel,2016,299,213,10,89,10
M Muralitharan,2009,623,592,25,267,30
M Muralitharan,2012,264,240,10,82,15
M Prasidh Krishna,2018,261,168,7,59,10
M Prasidh Krishna,2019,394,248,11,89,5
M Prasidh Krishna,2021,357,231,10,99,12
M Prasidh Krishna,2022,564,399,17,193,19
M Theekshana,2022,267,210,9,65,12
MA Starc,2014,419,322,14,127,14
